Student_ID,Year,Attendance_Y1_S1,Attendance_Y1_S2,Maths_Y1_Score,Maths_Y1_Credit,Physics_Y1_Score,Physics_Y1_Credit,Chemistry_Y1_Score,Chemistry_Y1_Credit,English_Y1_Score,English_Y1_Credit,Computer_Y1_Score,Computer_Y1_Credit,Percentage,Avg_Attendance,Result,Risk,Attendance_Y2_S1,Attendance_Y2_S2,Data Structures_Y2_Score,Data Structures_Y2_Credit,Maths_Y2_Score,Maths_Y2_Credit,Python Programming_Y2_Score,Python Programming_Y2_Credit,Operating Systems_Y2_Score,Operating Systems_Y2_Credit,Computer Networks_Y2_Score,Computer Networks_Y2_Credit,Attendance_Y3_S1,Attendance_Y3_S2,Machine Learning_Y3_Score,Machine Learning_Y3_Credit,DBMS_Y3_Score,DBMS_Y3_Credit,Web Technologies_Y3_Score,Web Technologies_Y3_Credit,Probability_Y3_Score,Probability_Y3_Credit,AI Basics_Y3_Score,AI Basics_Y3_Credit,Attendance_Y4_S1,Attendance_Y4_S2,Deep Learning_Y4_Score,Deep Learning_Y4_Credit,AI Ethics_Y4_Score,AI Ethics_Y4_Credit,Cloud Computing_Y4_Score,Cloud Computing_Y4_Credit,NLP_Y4_Score,NLP_Y4_Credit,Capstone Project_Y4_Score,Capstone Project_Y4_Credit
Y1_S001,1,83,96,44,4,90,2,53,4,51,2,31,3,50.87,89.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S002,1,82,46,93,2,62,3,51,2,78,4,88,4,75.87,64.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S003,1,86,72,89,4,91,3,76,3,80,4,93,2,85.19,79.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S004,1,47,81,80,4,50,2,68,3,33,2,89,3,68.36,64.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S005,1,94,53,82,3,89,4,73,2,37,4,64,3,68.0,73.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S006,1,61,80,79,3,35,3,33,3,92,3,73,3,62.4,70.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S007,1,54,80,43,4,77,4,91,2,82,3,89,2,72.4,67.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S008,1,85,73,44,2,94,2,38,2,37,4,40,4,47.14,79.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S009,1,61,52,64,4,62,4,34,3,70,4,41,3,56.06,56.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S010,1,77,92,52,3,66,4,73,3,64,2,76,3,66.33,84.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
